['0.6495059475592175'],['0.6102634334692182'],['1.3385917840696622'],['-1.31801082786102'],['0.1582622582245404'],['0.29835770262926287']
['0.6495059475592175'],['0.6102634334692182'],['1.3385917840696622'],['-1.31801082786102'],['0.1582622582245404'],['0.29835770262926287']
['0.41231262679968106'],['0.5288457036609437'],['0.7503763639450669'],['-2.104284266235317'],['0.08216685464568826'],['0.17603194703150188']
['0.14416758832101095'],['0.5184247284460373'],['0.17047031260383505'],['-2.505319957331209'],['0.03230880932294268'],['0.1440657139111822']
['0.6781867818020446'],['0.5682507960480875'],['1.4719625846021747'],['-1.7514734239940806'],['0.168722060077848'],['0.344432398205219']
['0.33619984342402526'],['0.4802599145580526'],['0.47238957201160325'],['-2.323777957664843'],['0.06855754063423355'],['0.22436210022008932']
['0.16050711478255986'],['0.4211397017384487'],['0.14701464759370364'],['-2.6944454080608695'],['0.031545394106153375'],['0.1588212949323211']
['0.5448449864735788'],['0.516301945500088'],['1.0651063841702502'],['-1.7065462433994427'],['0.09762042441221522'],['0.26677793450767073']
['0.3131289204219538'],['0.48159579429502974'],['0.4114103730390248'],['-1.7310217667983878'],['0.04121227134280529'],['0.20960324129338667']
['0.033509678803688915'],['0.47723091268084517'],['-0.30130695573501903'],['-2.607896134829253'],['-0.010723634049745495'],['0.19147411489010424']
['0.5385707312665806'],['0.42095524680949714'],['1.125382827370151'],['-1.90088167629764'],['0.1035774043918115'],['0.26896154321331267']
