['0.6495059475592175'],['0.6102634334692182'],['1.3385917840696622'],['-1.31801082786102'],['0.1582622582245404'],['0.29835770262926287']
['0.41231262679968106'],['0.5288457036609437'],['0.7503763639450669'],['-2.104284266235317'],['0.08216685464568826'],['0.17603194703150188']
['0.14416758832101095'],['0.5184247284460373'],['0.17047031260383505'],['-2.505319957331209'],['0.03230880932294268'],['0.1440657139111822']
['0.6781867818020446'],['0.5682507960480875'],['1.4719625846021747'],['-1.7514734239940806'],['0.168722060077848'],['0.344432398205219']
['0.5514803874299828'],['0.5191733201639431'],['1.0921737209580413'],['-1.970903311420715'],['0.12477111336538714'],['0.27435113017958085']
['0.33619984342402526'],['0.4802599145580526'],['0.47238957201160325'],['-2.323777957664843'],['0.06855754063423355'],['0.22436210022008932']
['0.26385579790832314'],['0.4662034742168696'],['0.3769052729935194'],['-2.330031385410639'],['0.059037139152187106'],['0.20448596278264738']
['0.16050711478255986'],['0.4211397017384487'],['0.14701464759370364'],['-2.6944454080608695'],['0.031545394106153375'],['0.1588212949323211']
['0.5448449864735788'],['0.516301945500088'],['1.0651063841702502'],['-1.7065462433994427'],['0.09762042441221522'],['0.26677793450767073']
['0.3131289204219538'],['0.48159579429502974'],['0.4114103730390248'],['-1.7310217667983878'],['0.04121227134280529'],['0.20960324129338667']
['0.033509678803688915'],['0.47723091268084517'],['-0.30130695573501903'],['-2.607896134829253'],['-0.010723634049745495'],['0.19147411489010424']
['0.5385707312665806'],['0.42095524680949714'],['1.125382827370151'],['-1.90088167629764'],['0.1035774043918115'],['0.26896154321331267']
['0.44842632132364396'],['0.40425215165138334'],['0.8733921245662729'],['-2.14378860271978'],['0.08045641695636996'],['0.23233341439519092']
['0.2721546907643186'],['0.3830767598901005'],['0.14873633211658174'],['-2.3565030584236406'],['0.03552255058623643'],['0.20646371839682104']
['0.22529619488133565'],['0.37251445905890124'],['-0.02079625341369981'],['-2.3912777846843696'],['0.01972323199482435'],['0.17882863163120336']
['0.09094772721049404'],['0.357102667418851'],['-0.8423031157111347'],['-2.7631332210453134'],['-0.02279023331688799'],['0.17518572792919082']
['0.6213775909203623'],['0.5173457716725265'],['1.639797469529341'],['-1.835623010824062'],['0.1446201508601445'],['0.27494940388086175']
['0.30042968605294645'],['0.4988089679317925'],['0.6599271893836091'],['-1.9813713889539872'],['0.06473517964477703'],['0.21572515522548213']
['0.06956617512703175'],['0.46765670795532044'],['-0.14404786821122953'],['-2.074888250301314'],['-0.005869292659619348'],['0.237066170639131']
['0.6888861046345147'],['0.4556633360324228'],['1.967258629666854'],['-2.3292451012652453'],['0.16618982167479016'],['0.2944426914860113']
['0.5147206935500821'],['0.44304701131712465'],['1.3921101472042106'],['-2.0405886001658935'],['0.12446676573447309'],['0.27436269985650524']
['0.3674379663126905'],['0.4141391832652719'],['0.935987485181681'],['-2.0636712499872414'],['0.08523254603334765'],['0.2485386782463518']
['0.24783191848036082'],['0.3962926489291615'],['0.5483453948696055'],['-2.0266368373623997'],['0.05399551292837464'],['0.21102168299085097']
['0.09187226873621561'],['0.37328773387500164'],['0.05854836162370712'],['-2.2774695611957023'],['0.015127364110101073'],['0.18709386189721477']
['0.5456933746643977'],['0.5159295346081164'],['1.1646408628689842'],['-2.320019857426176'],['0.11393157411579491'],['0.19961988765409547']
['0.3718220104957232'],['0.49365303795918675'],['0.7987122533584997'],['-2.5072837789949203'],['0.07996774496823096'],['0.162242728025094']
['0.03798888326158133'],['0.4665529896041991'],['-0.10555310608109603'],['-2.952419304337746'],['7.612310850373938E-4'],['0.09208758605893716']
['0.6370017635194982'],['0.45822551649470233'],['1.4055547999832803'],['-2.4041571646657167'],['0.12474792670874219'],['0.21423983379902897']
['0.5167040104865354'],['0.4304742011672035'],['1.0827264650604858'],['-2.47469839333141'],['0.09741495941690693'],['0.18048833304362732']
['0.3259915957255186'],['0.40732471600562203'],['0.608228668082063'],['-2.5146912362601204'],['0.0606108845340537'],['0.16110487264726486']
['0.23448861888566006'],['0.3878391052538924'],['0.4666286461271313'],['-2.601570638461784'],['0.04678103905150333'],['0.14789386038828806']
['0.14046061543522675'],['0.372452862629129'],['0.0029296374665538365'],['-2.8472516106210466'],['0.02025628359031402'],['0.13396683949673532']
['0.36787990627999845'],['0.4712522994041593'],['1.0077299988805803'],['-2.0310851297870522'],['0.08042754807007378'],['0.1610150942727427']
['0.22313582005466248'],['0.4719507313798098'],['0.6071137289480015'],['-2.257841623246974'],['0.04942221441905421'],['0.15890662591941415']
['0.09207614743607724'],['0.46735820815347856'],['-1.013966852877738'],['-2.731811388161764'],['-0.02270709397488698'],['0.17143160799296325']
['0.33511244798918016'],['0.35272052046343905'],['0.8331987100873808'],['-2.82374532476751'],['0.06492294226905931'],['0.16186933319725766']
['0.1824510155040972'],['0.3346342036690266'],['0.3680173942079907'],['-2.4881689664877635'],['0.029090072217753817'],['0.13306653903580992']
['0.13705262461255024'],['0.33567611045249957'],['-0.026808872481365282'],['-2.642547300107791'],['0.011198042672927613'],['0.1384284209139008']
['0.1288530836027803'],['0.33590707384286655'],['-0.3063257336970638'],['-2.89928573000378'],['7.609943314596135E-4'],['0.14358810552328471']
['0.08298350251185341'],['0.33065656357641526'],['-0.4959834034492679'],['-2.8235592822785964'],['-0.013890816374528825'],['0.13294790778799295']

CP, CV, CUCI, CUMASS, CNPMI, CA
